# Gaillard et al. (2003), Tab. 4
# fH2 (bar), SH2 (g/m^3), SH2(ppm-wt), log K (measured), log K (calculated), alpha, log K (calculated)
3, 0.02, 0.002, 0.001, -13.21, -13.56, 0.0005, -12.89
5, 0.25, 0.058, 0.025, -12.54, -12.15, 0.0026, -11.80
7, 0.50, 0.14, 0.06, -11.83, -11.76, 0.0040, -11.49
27, 2, 0.8, 0.4, -11.01, -10.98, 0.0099, -10.89
28, 5, 2.6, 1.1, -10.63, -10.47, 0.0179, -10.49
29, 8, 4.8, 2.1, -10.18, -10.21, 0.0242, -10.29
30, 15, 10.8, 4.7, -9.84, -9.85, 0.0364, -10.02
32, 25, 20.7, 9.9, -9.57, -9.57, 0.0505, -9.80
33, 30, 26.1, 11.3, -9.33, -9.47, 0.0568, -9.72
34, 40, 37.6, 16.3, -9.23, -9.30, 0.0684, -9.59
35, 70, 76.9, 33.4, -8.98, -8.99, 0.0980, -9.35
36, 50, 50.0, 21.7, -10.52, -10.53, 0.0215, -11.17
